,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
1337,70,75,68,71,74,66,52,55,47,norm_impervious
1338,89,91,88,69,73,64,59,62,53,norm_impervious
1339,48,49,43,37,43,34,44,50,43,norm_impervious
1340,69,64,61,61,65,56,48,55,44,norm_impervious
1341,70,75,68,66,70,61,48,54,44,norm_impervious
1342,77,78,72,61,66,56,47,54,43,norm_impervious
1343,43,43,43,37,44,39,45,52,44,norm_impervious
1344,74,77,68,62,66,58,49,54,47,norm_impervious
1345,40,40,42,40,45,40,51,57,49,norm_impervious
1346,78,82,81,57,59,52,49,51,43,norm_impervious
1347,64,69,63,62,65,59,49,52,45,norm_impervious
1348,49,64,45,42,52,38,40,50,37,norm_pervious
1349,38,55,39,39,50,34,38,46,34,norm_pervious
1350,62,70,55,42,52,36,37,47,33,norm_pervious
1351,36,54,32,39,47,33,45,51,40,norm_pervious
1352,39,57,35,38,50,34,39,48,35,norm_pervious
1353,30,43,25,35,46,30,34,45,29,norm_pervious
1354,55,62,46,45,52,38,42,49,35,norm_pervious
1355,48,64,37,42,50,34,40,48,34,norm_pervious
1356,27,38,24,33,43,29,36,47,33,shaded_pervious
1357,31,44,27,38,50,34,40,49,35,shaded_pervious
1358,39,56,38,38,50,34,42,52,37,norm_pervious
1359,35,41,29,39,48,35,40,46,36,shaded_pervious
1360,54,65,48,38,46,33,35,42,29,norm_pervious
1361,56,63,47,45,55,37,40,48,35,norm_pervious
1362,46,55,34,40,50,36,39,46,34,norm_pervious
1363,36,48,26,41,50,34,44,53,37,norm_pervious
1364,43,62,42,40,50,37,39,48,37,norm_pervious
1365,43,57,42,39,49,37,40,48,38,norm_pervious
1366,42,56,31,39,45,32,43,48,35,norm_pervious
1367,53,68,49,44,55,37,42,51,35,norm_pervious
1368,44,64,39,42,53,36,44,53,37,norm_pervious
1369,39,56,37,41,52,36,45,53,37,norm_pervious
1370,43,45,32,40,50,33,39,50,33,shaded_pervious
1371,53,68,49,44,55,37,42,51,35,norm_pervious
1372,50,61,45,43,53,36,41,51,35,norm_pervious
1373,51,70,42,46,56,38,40,48,34,norm_pervious
1374,53,66,48,45,55,37,40,48,34,norm_pervious
1375,50,63,43,42,53,37,40,50,37,norm_pervious
1376,60,73,53,43,56,39,37,48,34,norm_pervious
1377,40,55,34,36,48,32,40,49,36,norm_pervious
1378,37,50,32,37,48,32,37,46,33,norm_pervious
1379,40,55,34,36,49,32,38,48,34,norm_pervious
1380,50,63,43,41,53,36,38,48,34,norm_pervious
1381,47,60,40,38,48,32,38,46,32,norm_pervious
1382,51,63,49,38,48,33,38,47,33,norm_pervious
1383,51,60,39,40,49,34,40,48,34,norm_pervious
1384,49,64,43,42,53,38,43,52,39,norm_pervious
